scenario,family,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,rmse,rmse_ci_low,rmse_ci_high,r_squared,spearman_r,winner_pearson_holm_p
restricted_features,ridge,SWB_pp,104,0.3008812756514464,0.11495420913022521,0.46644102033575613,0.0019120508912684321,0.16375764051369124,0.14066306610959403,0.1872709581501058,0.052966450633009421,0.39938713798837588,
restricted_features,ridge,SWB_avg,104,0.15580323048411043,-0.037922904219967683,0.33824220472676975,0.11425700109815552,0.20195290260065843,0.18183583547539564,0.22176706966455725,0.019109881329810396,0.1908093741800688,
restricted_features,single_rf,SWB_nn,104,0.25025064539503428,0.060582199276537366,0.42247743219981954,0.010403356074683262,0.16487403916108379,0.14513551850376338,0.18507771782031712,0.034271039234793799,0.24132061179629408,
restricted_features,single_rf,SWB_pp,104,0.28614673993764916,0.099015087086242654,0.45373055784019983,0.0032326706761307326,0.16424863238566145,0.14189458763620957,0.18682191994936803,0.04727898648284623,0.28571837265045952,
restricted_features,single_rf,SWB_avg,104,0.17356232541404643,-0.019683853311883492,0.35430744837953526,0.078069018530942863,0.20155212087629415,0.18065937573980001,0.2212584077324441,0.022999231232287087,0.14775648603323274,
restricted_features,single_et,SWB_nn,104,0.26450773544309963,0.075779815678169646,0.43493966622255592,0.0066603975062308717,0.16570327799023085,0.14525712667033,0.18627362874884779,0.024532285571257417,0.24004383969306176,
restricted_features,single_et,SWB_pp,104,0.26292264295181411,0.074085812664741735,0.43355734288341463,0.0070071451916181044,0.16527095749370271,0.14302652060684157,0.18839497713693309,0.035382122794216375,0.29170656222439645,
restricted_features,single_et,SWB_avg,104,0.20421184367312822,0.012099476460327137,0.38178492702809502,0.037584632549806457,0.20096095612151393,0.18062639210501452,0.22014830107789565,0.028722032813826015,0.16531753251417899,
restricted_features,single_hgb,SWB_nn,104,0.18244993594826281,-0.010507498541621483,0.36230750520392019,0.063777027439443371,0.16775434156122793,0.14638672944981868,0.18868888691891275,0.00023428897248711777,0.16265221852349335,
restricted_features,single_hgb,SWB_pp,104,0.17754794603945781,-0.01557276872763071,0.35789832331892474,0.071370705428472445,0.16949522458720964,0.14745053717291404,0.19250771178347068,-0.014558639773752713,0.18316595209698819,
restricted_features,single_hgb,SWB_avg,104,0.14414089677568237,-0.049830618247880404,0.32763405311707117,0.14433862342050327,0.20624563229422055,0.18437679520001199,0.22749795271811729,-0.023033089216726976,0.14790612367823167,
restricted_features,joint_rf,SWB_nn,104,0.30085422285036578,0.1149248567034641,0.46641774624008342,0.001913943287775273,0.16518563455593843,0.1459106081440264,0.18513415802396246,0.030617328200961635,0.29317679090121573,
restricted_features,joint_rf,SWB_pp,104,0.26836234161351191,0.07990381979402629,0.43829783261805932,0.0058798158913494093,0.16527880945597137,0.14249476052017465,0.18809807197371012,0.035290463337373845,0.28051543184313166,
restricted_features,joint_rf,SWB_avg,104,0.12485456548917137,-0.069402478190158254,0.30998894542352456,0.20665006338142239,0.20312991256705298,0.18220437296117206,0.22327825922930539,0.0076430316251546726,0.13465784789421895,
restricted_features,joint_et,SWB_nn,104,0.26981956701454007,0.081464572841861094,0.43956614546397654,0.0056065821907518272,0.16618692571463684,0.1459117477551419,0.18553166656294581,0.018829667544543516,0.27016284018688563,
restricted_features,joint_et,SWB_pp,104,0.36340719129248356,0.18367392711453942,0.51962773829354825,0.00014959582111447238,0.16448165315511137,0.14226538565496494,0.18642087824419501,0.044573803984430338,0.35940355283144632,
restricted_features,joint_et,SWB_avg,104,0.22061630980877955,0.029271787485457914,0.39636378916152609,0.02441934086127678,0.20132209121756944,0.18185158264162368,0.22162536768953711,0.025228043373083264,0.22270356937127006,
restricted_features,multitask_en,SWB_nn,104,0.38923000578156541,0.2125767728390402,0.54124583876296861,4.4332011675505989e-05,0.16534646864223748,0.14517487156626396,0.18536643784794135,0.028728717511478874,0.41638262779179042,
restricted_features,multitask_en,SWB_pp,104,0.38847784709252309,0.21173050645089,0.54061898232559802,4.5997666036770177e-05,0.16540711141610334,0.14289468540515343,0.18770200742599161,0.033792120429947503,0.39717562105384424,
restricted_features,multitask_en,SWB_avg,104,0.23831114788355498,0.047922363847646365,0.41199068119411786,0.014844890021390438,0.2020463960055042,0.1817605292611344,0.22105122962980325,0.018201471661443036,0.28414585524815356,
